Scene,Coding Method,Lambda,Target Bitrate,BPP,Rate
Bicycle,Pleno3x3,2840,0.118,0.11765869140625,R1
Bicycle,Pleno3x3,900,0.236,0.236651611328125,R2
Bicycle,Pleno3x3,300,0.472,0.472479248046875,R3
Bicycle,Pleno3x3,60,1.003,0.995318603515625,R4
Bicycle,Pleno5x5,8800,0.118,0.117962646484375,R1
Bicycle,Pleno5x5,2685,0.236,0.23517822265625,R2
Bicycle,Pleno5x5,720,0.472,0.47165771484375,R3
Bicycle,Pleno5x5,180,1.003,0.998291015625,R4
Bikes,Pleno3x3,1970,0.118,0.118054930875576,R1
Bikes,Pleno3x3,695,0.236,0.235320626728111,R2
Bikes,Pleno3x3,240,0.472,0.471836313364055,R3
Bikes,Pleno3x3,77,1.003,0.996855741935484,R4
Bikes,Pleno5x5,5500,0.118,0.118026617511521,R1
Bikes,Pleno5x5,1600,0.236,0.235522359447005,R2
Bikes,Pleno5x5,599,0.472,0.472088774193548,R3
Bikes,Pleno5x5,200,1.003,0.997531723502304,R4
Fountain,Pleno3x3,2600,0.118,0.118027797235023,R1
Fountain,Pleno3x3,880,0.236,0.235748866359447,R2
Fountain,Pleno3x3,300,0.472,0.476801769585253,R3
Fountain,Pleno3x3,77,1.003,0.992149824884793,R4
Fountain,Pleno5x5,6000,0.118,0.120697511520737,R1
Fountain,Pleno5x5,2100,0.236,0.233899059907834,R2
Fountain,Pleno5x5,750,0.472,0.468767852534562,R3
Fountain,Pleno5x5,230,1.003,1.00333124423963,R4
Sideboard,Pleno3x3,5800,0.118,0.11822265625,R1
Sideboard,Pleno3x3,2000,0.236,0.235093994140625,R2
Sideboard,Pleno3x3,610,0.472,0.473720703125,R3
Sideboard,Pleno3x3,133,1.003,0.997091064453125,R4
Sideboard,Pleno5x5,13000,0.118,0.119124755859375,R1
Sideboard,Pleno5x5,5000,0.236,0.236402587890625,R2
Sideboard,Pleno5x5,1750,0.472,0.47065185546875,R3
Sideboard,Pleno5x5,465,1.003,0.999739990234375,R4
