Scene,Coding Method,QP,Target Bitrate,BPP,Key
Bicycle,VVC3x3,24,0.118,0.123455810546875,R1
Bicycle,VVC3x3,19,0.236,0.236578369140625,R2
Bicycle,VVC3x3,14,0.472,0.470206298828125,R3
Bicycle,VVC3x3,8,1.003,1.02180053710938,R4
Bicycle,VVC5x5,26,0.118,0.122994384765625,R1
Bicycle,VVC5x5,22,0.236,0.234173583984375,R2
Bicycle,VVC5x5,17,0.472,0.495062255859375,R3
Bicycle,VVC5x5,13,1.003,1.0298388671875,R4
Bikes,VVC3x3,24,0.118,0.120023889400922,R1
Bikes,VVC3x3,20,0.236,0.245791852534562,R2
Bikes,VVC3x3,17,0.472,0.435084387096774,R3
Bikes,VVC3x3,13,1.003,1.12313452534562,R4
Bikes,VVC5x5,26,0.118,0.111785880184332,R1
Bikes,VVC5x5,22,0.236,0.253937843317972,R2
Bikes,VVC5x5,19,0.472,0.479434912442396,R3
Bikes,VVC5x5,16,1.003,1.07605883870968,R4
Fountain,VVC3x3,26,0.118,0.107516460829493,R1
Fountain,VVC3x3,22,0.236,0.221515502304147,R2
Fountain,VVC3x3,17,0.472,0.497149640552995,R3
Fountain,VVC3x3,14,1.003,0.949927520737327,R4
Fountain,VVC5x5,27,0.118,0.119782046082949,R1
Fountain,VVC5x5,24,0.236,0.223696811059908,R2
Fountain,VVC5x5,20,0.472,0.509388092165899,R3
Fountain,VVC5x5,17,1.003,0.89531929953917,R4
Sideboard,VVC3x3,25,0.118,0.11319091796875,R1
Sideboard,VVC3x3,19,0.236,0.227081298828125,R2
Sideboard,VVC3x3,14,0.472,0.4790087890625,R3
Sideboard,VVC3x3,8,1.003,0.9719287109375,R4
Sideboard,VVC5x5,26,0.118,0.1247265625,R1
Sideboard,VVC5x5,21,0.236,0.24948486328125,R2
Sideboard,VVC5x5,17,0.472,0.4702880859375,R3
Sideboard,VVC5x5,13,1.003,1.03981567382813,R4
